# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024fyi
# CHANNEL = B+R
# EXPNUM = 24_100_027_003
# MJD-OBS = 60409.361522
# DATE-OBS = 2024-04-09T08:40:37
# EXPTIME = 1800.0s
# AIRMASS = 1.05
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 12:29:38.33
# DEC = 32:45:21.92
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 1.001400e-15 7.233858e-17
3403.480000 6.330989e-16 7.153618e-17
3406.480000 6.331126e-16 6.355907e-17
3409.480000 8.070102e-16 5.963598e-17
3412.480000 8.139155e-16 6.605237e-17
3415.480000 6.635536e-16 6.665031e-17
3418.480000 6.134247e-16 5.865661e-17
3421.480000 5.821464e-16 5.677460e-17
3424.480000 6.718569e-16 6.453385e-17
3427.480000 8.540331e-16 6.504734e-17
3430.480000 6.929371e-16 5.586973e-17
3433.480000 4.401082e-16 5.413782e-17
3436.480000 4.416357e-16 6.105400e-17
3439.480000 7.338483e-16 6.122750e-17
3442.480000 7.431204e-16 5.313769e-17
3445.480000 5.622222e-16 5.226790e-17
3448.480000 5.203877e-16 5.656292e-17
3451.480000 5.230159e-16 5.410443e-17
3454.480000 6.786886e-16 4.920196e-17
3457.480000 7.476289e-16 5.198383e-17
3460.480000 5.972617e-16 5.426975e-17
3463.480000 5.970273e-16 5.070418e-17
3466.480000 6.056026e-16 4.720047e-17
3469.480000 6.889190e-16 5.082474e-17
3472.480000 7.003501e-16 5.358304e-17
3475.480000 4.999331e-16 4.819895e-17
3478.480000 4.805777e-16 4.553523e-17
3481.480000 6.543704e-16 5.134098e-17
3484.480000 7.710898e-16 5.307441e-17
3487.480000 6.640869e-16 4.731352e-17
3490.480000 4.316088e-16 4.442874e-17
3493.480000 5.994699e-16 5.087650e-17
3496.480000 5.879511e-16 5.050864e-17
3499.480000 5.953497e-16 4.470009e-17
3502.480000 5.652733e-16 4.397565e-17
3505.480000 4.965219e-16 4.865324e-17
3508.480000 5.124088e-16 4.822309e-17
3511.480000 6.319309e-16 4.304829e-17
3514.480000 5.696910e-16 4.403190e-17
3517.480000 5.062907e-16 4.743271e-17
3520.480000 5.152028e-16 4.595101e-17
3523.480000 6.690919e-16 4.229610e-17
3526.480000 7.895163e-16 4.497002e-17
3529.480000 6.416650e-16 4.767465e-17
3532.480000 5.130713e-16 4.457751e-17
3535.480000 5.121134e-16 4.026116e-17
3538.480000 6.081368e-16 4.411129e-17
3541.480000 6.413770e-16 4.677891e-17
3544.480000 5.796870e-16 4.297226e-17
3547.480000 5.995781e-16 4.054095e-17
3550.480000 6.240361e-16 4.507478e-17
3553.480000 6.829403e-16 4.680606e-17
3556.480000 6.943634e-16 4.266769e-17
3559.480000 6.329953e-16 4.088944e-17
3562.480000 4.631255e-16 4.500002e-17
3565.480000 4.191839e-16 4.521270e-17
3568.480000 5.815489e-16 4.043658e-17
3571.480000 6.148879e-16 3.993021e-17
3574.480000 5.895464e-16 4.570626e-17
3577.480000 3.664062e-16 4.437897e-17
3580.480000 3.740175e-16 3.768286e-17
3583.480000 5.622234e-16 3.881095e-17
3586.480000 6.072608e-16 4.323633e-17
3589.480000 5.336513e-16 4.174252e-17
3592.480000 3.972520e-16 3.715516e-17
3595.480000 5.021923e-16 3.978450e-17
3598.480000 6.435211e-16 4.293847e-17
3601.480000 6.014587e-16 4.061877e-17
3604.480000 5.043266e-16 3.667569e-17
3607.480000 5.317572e-16 3.922519e-17
3610.480000 5.187229e-16 4.132021e-17
3613.480000 5.909033e-16 3.859790e-17
3616.480000 5.062190e-16 3.598906e-17
3619.480000 4.705050e-16 3.916710e-17
3622.480000 4.303709e-16 4.020781e-17
3625.480000 4.755352e-16 3.640937e-17
3628.480000 6.070053e-16 3.483766e-17
3631.480000 5.361673e-16 3.838291e-17
3634.480000 3.839452e-16 3.814544e-17
3637.480000 3.765679e-16 3.402955e-17
3640.480000 3.807796e-16 3.357615e-17
3643.480000 4.936791e-16 3.856968e-17
3646.480000 4.772407e-16 3.821927e-17
3649.480000 3.472625e-16 3.304599e-17
3652.480000 3.155486e-16 3.350629e-17
3655.480000 4.634855e-16 3.796736e-17
3658.480000 5.536888e-16 3.759450e-17
